Employee_ID,First_Name,Last_Name,Email,Hire_Date,Department,Salary,Performance_Score,Training_Hours
39,Hannah,Allen,odonnellwilliam@example.net,2023-03-20,IT,58674,4.343908396083094,32
40,April,Burton,tammyconway@example.net,2019-04-21,Marketing,60459,3.1621399518549476,12
41,Charles,Spencer,mary45@example.com,2018-03-15,HR,99120,4.097950833645015,35
42,John,Aguilar,eacosta@example.com,2022-07-19,Finance,116890,3.759428255499859,20
43,Yolanda,Richardson,pjones@example.net,2016-03-01,Finance,108463,4.182000570041033,12
44,Monica,Gross,harrisryan@example.org,2021-02-06,Operations,95169,2.898375145454427,38
45,Isaac,Thornton,tranconnie@example.com,2015-01-30,Sales,83838,2.960884916924794,16
46,Jacob,Walters,xflores@example.org,2014-05-03,IT,56301,3.178190927225022,30
47,Lisa,Boyle,stevenhicks@example.org,2023-07-01,IT,85912,2.9789211528424966,19
48,Kristina,Sanders,susan19@example.net,2022-07-04,Sales,55400,3.9621964488522377,27
49,Nicholas,Gonzalez,danielnewton@example.net,2015-04-17,Operations,42962,4.22856292159108,17
50,Zachary,Alvarez,heather66@example.org,2016-04-26,HR,111148,3.8233140541536805,25
51,Ryan,Smith,vcohen@example.com,2018-09-07,Marketing,71235,4.223619330548284,12
52,Erica,Hamilton,plong@example.com,2019-04-04,Finance,85548,3.5865408838158324,40
53,Amy,Wallace,baxterjohn@example.org,2016-08-22,Operations,118180,2.9706168178734838,28
54,Steven,Thompson,bianca96@example.net,2022-04-19,Sales,74071,3.3447788177882773,10
55,Thomas,Best,jwalsh@example.org,2013-10-11,Finance,45300,2.965908390554497,22
56,Janice,Chan,johnmurillo@example.org,2017-09-04,Sales,65046,2.213404396600061,11
57,Jeffrey,Swanson,katiemitchell@example.net,2017-03-23,Sales,59812,4.862700129348568,38
58,Charles,Hopkins,castillojohn@example.org,2015-12-08,Sales,85426,3.5460534135119586,31
59,Angela,Walker,sonia06@example.com,2017-06-20,Finance,49735,2.3295680801282757,35
60,Jimmy,Glover,zcummings@example.net,2022-06-11,Sales,89391,3.497349783801067,28
61,Jeffrey,Clark,jamessavannah@example.com,2019-06-24,Marketing,47373,2.6807368196443875,38
62,Brian,Perry,wilsoncheryl@example.net,2019-07-26,Sales,60447,3.867966681630623,17
63,James,Davis,matthewsmichelle@example.com,2014-07-05,Sales,89519,2.2442814431647946,40
64,Jason,Craig,qhernandez@example.org,2023-04-07,Finance,65892,3.8455974828048225,25
65,Robert,Willis,hchase@example.org,2015-04-01,HR,104796,3.935584792518413,28
66,Megan,Black,williamskristina@example.org,2016-08-30,IT,110969,3.798040583778879,35
67,Kimberly,Valdez,jeremy58@example.org,2023-08-20,Sales,106272,2.3348225628904644,29
68,Adam,Guzman,gomezdaniel@example.org,2017-03-18,IT,51670,2.680028648215795,33
69,Brandon,Haynes,lisahart@example.com,2020-01-12,HR,117997,4.034194372606396,26
70,Nicholas,Howe,blackamber@example.com,2023-03-04,Operations,71524,2.702980663594996,23
71,Toni,Kirby,kristirobinson@example.com,2019-11-03,Finance,117277,4.507115220742801,25
72,Michelle,Molina,david99@example.com,2023-08-15,IT,115734,4.059321364547319,38
73,Nathan,Collins,bartonstacy@example.org,2016-02-02,IT,90962,4.478231906893789,27
74,Brandy,Washington,scott47@example.org,2023-09-06,Sales,63019,2.641581506577211,33
75,Edwin,Becker,rromero@example.org,2018-02-09,Operations,44313,2.131160861872041,14
76,Beth,Long,bmassey@example.com,2014-01-13,Operations,63538,3.492643318463591,11
77,Michael,Knox,hjenkins@example.org,2021-10-03,HR,52374,4.9601595304966395,23
78,Jennifer,Morgan,gary50@example.org,2022-06-27,Operations,91350,4.7907412888091105,40
79,Kevin,Lynch,crystalmurphy@example.com,2018-06-21,Marketing,98570,2.758643044047221,31
80,Robert,Glover,gonzalezwalter@example.com,2017-03-02,IT,68874,4.965663487580985,37
81,Tina,Williamson,robertrice@example.net,2014-09-26,Marketing,108588,2.8857394437458135,15
82,Jose,Randolph,nicholasmills@example.org,2018-04-24,HR,56695,2.0532003550925504,19
83,John,Wilson,zoe52@example.org,2018-04-22,HR,91610,2.8583936914855856,39
84,Ashley,Wright,morrissara@example.com,2015-04-12,HR,49510,4.055937663609662,16
85,Teresa,Huffman,huffmanjoshua@example.com,2018-04-25,HR,75365,2.4322239116739137,39
86,Antonio,Williams,jamespark@example.org,2022-07-09,Marketing,81737,4.463963297336115,12
87,Alexander,Brooks,jamescastillo@example.org,2017-10-15,HR,91873,3.92534114968052,28
88,Jeffrey,Jensen,rachellewis@example.com,2015-01-07,Finance,88576,2.4884581487563917,24
89,Christine,Decker,masonwilliam@example.net,2019-10-01,Sales,108032,2.4064352540074725,16
90,Bradley,Smith,hdalton@example.org,2014-02-11,IT,65709,2.371089834283083,18
91,Sonya,Ruiz,leahmoore@example.com,2020-09-09,Sales,90203,3.746790163671606,29
92,Rebecca,Moore,rfernandez@example.com,2020-08-13,IT,72602,2.6384538137797264,39
93,Brianna,White,markknox@example.org,2023-01-28,Sales,95501,3.9557460185226714,10
94,Crystal,Hall,uoneal@example.com,2017-11-06,Operations,92551,3.623810102495396,14
95,Lori,Morgan,fwilkerson@example.com,2022-05-13,HR,107963,2.8609490169711296,37
96,Michael,Morales,juliahancock@example.org,2020-02-14,IT,72878,4.968978316617755,14
97,Brian,Morgan,dnoble@example.net,2020-07-13,IT,99182,3.9129449094151796,11
98,Thomas,Salazar,ericduffy@example.net,2022-08-13,Finance,94094,3.037892534962109,29
99,Hector,Smith,susangarcia@example.com,2023-03-01,IT,69050,3.6485870307147077,25
100,Katrina,Jackson,longsarah@example.org,2022-04-25,Sales,103584,2.1570075436740055,27
101,Stephanie,Nixon,jwiggins@example.com,2022-02-05,HR,61670,3.744222102275048,12
102,Jessica,Patterson,annmartin@example.net,2018-04-12,HR,101258,3.7885403405308478,32
103,Erin,Davenport,alexandrasalazar@example.org,2013-11-20,Marketing,93197,2.884958881776151,14
104,Troy,Perez,catherine99@example.org,2014-06-10,Finance,75815,2.4069331592672745,25
105,Julie,Garner,jonesbruce@example.org,2017-08-29,Finance,98354,3.691251940705059,13
106,Kenneth,Little,rmay@example.net,2016-11-19,Marketing,100272,3.402705944082454,24
107,Caroline,Gonzales,kellysantiago@example.net,2021-11-11,Finance,80590,4.251345997865322,20
108,Ethan,Matthews,cathy83@example.com,2015-07-31,HR,61306,4.90264919879392,22
109,Alicia,Hunt,johnturner@example.com,2014-07-14,Operations,59954,3.065885336194731,25
110,Jeremiah,Miller,andrew68@example.com,2023-02-11,HR,115276,2.570991315294311,15
111,Seth,Davis,hermanmatthew@example.org,2021-04-27,Sales,90106,2.2012899215755546,13
112,Jackson,Robertson,xjohnson@example.org,2019-06-28,Finance,103640,2.418948096967471,32
113,Mary,Walker,ericyoung@example.org,2014-12-30,Sales,62491,4.038838480406925,32
114,Carla,Hoover,qbell@example.com,2019-12-02,Finance,74751,4.566677645896041,24
115,Walter,Miller,jacob84@example.com,2013-12-26,IT,90491,4.493959573317673,29
116,Suzanne,Castillo,scott74@example.org,2022-05-11,Operations,90106,3.7910002802060583,39
117,Stanley,Davis,tonyacox@example.org,2022-09-18,Sales,66474,2.874371292344912,22
118,Cameron,Navarro,maxwellheather@example.net,2021-05-07,IT,66318,2.0724626395427745,26
119,Jamie,Fry,brent83@example.com,2022-09-13,HR,84794,3.6899769059261214,12
120,Thomas,Williams,stephanieramos@example.com,2018-07-05,Finance,53637,3.8860841973142284,11
121,Michele,Smith,vparsons@example.net,2019-07-14,Operations,114810,3.559230104838814,32
122,Katherine,Smith,michael54@example.net,2021-04-06,IT,96800,3.8835627010029943,38
123,Erika,Morales,samanthajuarez@example.com,2019-07-20,IT,87846,4.818495279620103,25
124,Alexis,Holmes,shannonmoyer@example.com,2018-05-10,Operations,111415,2.5569051458057257,16
125,George,Carroll,gallagherjulie@example.com,2014-06-17,HR,40146,4.675564510146424,27
126,Krystal,Powers,whitakerkelly@example.com,2023-08-15,Sales,74884,2.472376108249233,32
127,Kent,Lynch,taylorpark@example.net,2019-09-15,Operations,62996,2.61671622969532,12
128,Heather,Smith,ortizjake@example.org,2017-10-14,Finance,48895,2.19473748481873,38
129,Danny,Williams,david63@example.com,2019-07-08,IT,76845,3.155695906778719,14
130,Emily,Ponce,kennethsingh@example.net,2016-05-17,Sales,102816,4.6220829903317036,33
131,Michelle,Stewart,terri82@example.org,2018-09-07,HR,83980,3.790679032216888,30
132,Megan,Nash,elizabethjohnson@example.net,2018-10-24,Sales,75230,2.3232608660413177,33
133,Dawn,Weber,owalker@example.com,2018-07-14,HR,83541,4.058989066795821,13
134,William,Burns,zmendez@example.net,2018-10-26,Finance,43793,2.8092897971970747,15
135,John,Lane,lanemegan@example.com,2019-05-12,Sales,72888,4.141227379905333,38
136,Kelly,Johnson,parrishkrystal@example.com,2021-09-16,HR,64523,3.271948075403835,19
137,Steven,Miller,tammy06@example.net,2021-09-19,Sales,40337,3.2671701260424957,15
138,Kristen,Bennett,wrightsandra@example.com,2020-05-28,Finance,108903,4.723303043380485,14
139,Kimberly,Allen,xrodgers@example.org,2023-02-20,Sales,42701,4.286595274956789,17
140,Jacob,Reed,qpoole@example.com,2016-01-02,Marketing,71130,2.6331487715657236,17
141,Colleen,Pearson,ucarney@example.net,2022-08-18,Operations,93243,2.162806052433005,28
142,William,Chan,crosbyalexander@example.net,2019-05-16,Marketing,96976,3.3529954745527375,21
143,Joseph,Kent,reginald28@example.org,2016-01-23,Sales,69807,4.2276877962181025,22
144,Sophia,Glover,jonesrobert@example.net,2014-05-11,IT,74890,3.5635385933759975,12
145,Jason,Walsh,lanedavid@example.com,2023-03-16,Sales,68362,2.9429669433693957,16
146,Bradley,Navarro,linda79@example.net,2014-06-28,Sales,117409,2.079062058548816,30
147,Nicole,Gomez,xharrison@example.net,2023-05-10,Finance,65968,3.494875160597534,17
148,Stephen,Hernandez,frankrobinson@example.org,2022-04-07,IT,70065,4.187282913174212,37
149,Christopher,Campbell,jason89@example.com,2015-04-16,Sales,105730,2.5837853030529025,25
150,Richard,Allen,kelseyjackson@example.net,2022-10-12,Operations,78757,3.2640348951178417,37
151,Bradley,Hawkins,ksmith@example.net,2020-09-13,IT,83618,3.4516650899962364,40
152,Carrie,Roth,michael01@example.org,2017-10-16,Finance,93548,2.985753435200257,34
153,Nicholas,Thompson,amygoodwin@example.org,2023-04-04,Finance,87402,2.150063090819161,18
154,Paige,Myers,gibsonandrea@example.net,2015-07-11,Finance,104547,4.492385006063898,29
155,Kelly,Kennedy,yangcraig@example.com,2015-10-28,Operations,54810,3.138001500311873,30
156,Jamie,Matthews,osbornerhonda@example.net,2015-08-14,IT,53396,3.1335152440575533,25
157,Sarah,Owens,hayesfrank@example.com,2017-10-16,Operations,90133,2.0536190193665482,39
158,Kathleen,Crawford,williamskayla@example.org,2016-09-17,Sales,76397,2.4930772062552533,13
159,Dustin,Duran,pmcbride@example.net,2019-02-28,Finance,95813,2.744283155969401,20
160,Debra,Brown,cheryldelgado@example.net,2016-12-16,Marketing,119789,2.7922085463433635,15
161,Michael,Stewart,zachary51@example.com,2021-12-25,Operations,96501,2.2724045968988666,37
162,James,Ramos,hansonadam@example.net,2022-12-10,HR,45850,3.8034076258913525,15
163,Joshua,Henderson,samantha88@example.org,2018-11-07,Marketing,65573,2.5232630444468733,39
164,Randy,Campbell,tiffanycallahan@example.net,2022-11-14,HR,88548,4.601781042622067,31
165,Todd,Johnson,michellewelch@example.org,2022-04-14,HR,97597,3.7037423436024004,20
166,Derek,Dean,awilcox@example.net,2017-05-30,IT,79571,4.917347238089419,20
167,Joseph,Williams,stephenstein@example.net,2018-04-23,Operations,50008,2.85091818541245,11
168,Jennifer,Potter,joseph63@example.net,2019-06-25,HR,54201,2.923625084390501,40
169,Dawn,Tran,dawnrivas@example.com,2021-08-15,IT,75730,2.3285091250363465,36
170,Kristin,Graham,dlamb@example.org,2022-09-19,IT,117107,2.1441846530939817,20
171,David,Cobb,johnwatts@example.com,2018-05-04,Marketing,66102,3.811184082981983,17
172,Marco,Mitchell,ooconnor@example.org,2022-12-19,Marketing,58201,4.716604203469088,30
173,Lauren,Foley,william62@example.org,2015-07-24,Operations,93589,3.349197251144437,23
174,Kathryn,Anderson,gstark@example.org,2015-03-11,Operations,49189,3.6216841708088974,36
175,Joshua,Williams,davischristopher@example.com,2022-07-22,Marketing,73912,2.3867366757558885,23
176,Sarah,Colon,haleloretta@example.org,2015-01-24,Finance,52657,2.191016121478254,38
177,Isaiah,Smith,george40@example.net,2022-10-09,HR,43336,4.125846955828181,30
178,Timothy,Smith,tbrown@example.org,2020-01-20,Sales,63777,4.07436220277926,25
179,David,Wilson,tracymyers@example.com,2018-03-22,HR,75551,3.567123373645341,35
180,Richard,Kennedy,egilbert@example.com,2016-08-02,HR,107706,2.182813762473039,17
181,Candace,Morgan,brenda76@example.org,2021-11-25,Finance,100180,2.544337059434718,13
182,David,Green,johnlawson@example.com,2015-11-25,Sales,76220,2.685329771296307,30
183,Steven,Walker,elliottkeith@example.org,2019-03-30,HR,108508,3.467149213125345,30
184,William,Thompson,rebeccalynch@example.org,2017-06-21,HR,100189,2.3074965620168837,33
185,Daniel,Kelley,csmith@example.com,2015-09-27,Sales,41048,2.2095888600807037,38
186,Christopher,Hahn,angela06@example.com,2017-12-04,Marketing,70140,3.4803033373154735,20
187,Kimberly,Silva,maryhanson@example.org,2021-08-05,Finance,62294,3.8318387184048857,36
188,Laura,Ruiz,wheelerthomas@example.org,2019-09-03,Finance,106073,4.84484204947076,21
189,William,Lyons,david25@example.org,2016-01-01,Finance,49309,3.380389368011243,26
190,Charlotte,Jones,youngrandy@example.net,2021-01-25,HR,45335,2.5909027799111053,40
191,Alexander,Garcia,harrischarles@example.net,2022-08-24,Marketing,113519,2.4350975196990885,26
192,Chelsea,King,dannyroberts@example.net,2019-05-02,HR,115186,3.082698349148636,29
193,Maria,Smith,jonesbrenda@example.org,2022-12-02,Marketing,42250,4.2222584773283085,34
194,Brian,Huynh,susanmartinez@example.org,2020-02-20,Operations,72894,3.791888396642478,16
195,Deborah,Logan,john86@example.org,2020-08-21,IT,77265,2.3653915667195835,18
196,Jason,Anderson,osuarez@example.net,2023-06-01,Marketing,71883,4.517035092378473,14
197,Kathryn,Diaz,millsmatthew@example.com,2019-10-25,Operations,95123,4.0139957411957115,21
198,Michael,Orozco,fcalderon@example.org,2016-02-26,Finance,72175,3.1598253591340466,26
199,Robert,Robinson,martha05@example.com,2013-12-07,Sales,83992,4.3362637838640845,40
200,Michael,Garcia,michellejohns@example.net,2021-11-27,IT,57389,3.4425359913966576,12
201,Gary,Copeland,melissacastillo@example.org,2022-02-20,Operations,108841,3.1721944529795536,11
202,Gloria,Lindsey,sarahcuevas@example.org,2017-03-28,Finance,68564,4.786500675208805,32
203,Matthew,Campbell,griffinjoshua@example.org,2020-10-23,HR,69708,2.9392870694740307,29
204,Erika,Schroeder,ashley26@example.net,2016-02-08,Finance,64293,3.9130830342061738,40
205,Cheryl,Holloway,arnoldnicole@example.net,2023-06-14,Marketing,46542,4.5607454182969125,15
206,Courtney,Hall,nicholeyoung@example.net,2016-03-09,HR,49575,4.216174280570672,25
207,Amy,Harrison,coxlori@example.com,2020-09-01,Sales,98181,4.854040822879175,34
208,Keith,Herman,russellcruz@example.com,2019-06-08,Finance,87099,3.55613863693877,37
209,Cole,Terry,xwhite@example.com,2014-04-29,HR,101970,2.670918779067135,14
210,Jessica,Bean,lopezwendy@example.org,2019-01-12,Finance,52664,4.334993443071353,31
211,Timothy,Baird,amybrown@example.net,2014-04-11,Finance,114639,3.911176128301114,19
212,Michael,Caldwell,robynharris@example.com,2023-07-03,IT,83864,2.9858597865387444,26
213,John,Walton,jeffrey05@example.com,2018-06-22,IT,46350,3.424604357616217,34
214,Tanya,Vasquez,pjohnson@example.net,2023-02-13,Finance,94638,4.5630596593336845,18
215,Rodney,Acosta,annagarner@example.org,2020-12-15,Finance,63895,3.6990485857787037,38
216,Amber,Booker,lance61@example.net,2020-05-24,HR,95475,2.0446389589915244,24
217,Emily,Shelton,jennifer97@example.com,2019-10-23,IT,118836,2.7834633493799057,11
218,Michele,Howell,austinpalmer@example.org,2020-03-18,Operations,87396,2.2387630706047155,36
219,Lori,Liu,benjamingarcia@example.org,2023-01-30,Finance,47592,4.338962328234281,11
220,Bobby,Davis,sarah09@example.org,2022-02-05,HR,96840,2.3050206956076034,28
221,Nicole,James,keith06@example.org,2016-08-10,IT,43280,2.948428350062075,34
222,Maria,Frank,ambermason@example.net,2013-10-26,Finance,67732,2.474222523464939,40
223,Joshua,Torres,michael29@example.net,2023-03-23,HR,67938,3.2189089700220035,12
224,Krista,Pacheco,waltermanning@example.net,2016-04-18,Finance,70718,3.6244233398754524,16
225,James,Watson,zking@example.org,2017-12-02,Operations,88483,2.750618239728257,20
226,Erin,Martin,tranjordan@example.net,2020-01-18,Marketing,67340,2.8351020801988502,11
227,Corey,Calhoun,ariana74@example.com,2022-01-04,Finance,81880,3.568985864623446,33
228,Eric,Ellis,madison45@example.org,2021-04-18,IT,41078,2.208597874466274,37
229,Tony,Hardy,travis49@example.net,2021-07-18,IT,51266,4.653687982425327,21
230,Jonathan,Anderson,michelle39@example.com,2021-08-06,Marketing,99352,3.62768245908174,22
231,Linda,Taylor,ynguyen@example.com,2019-07-07,Operations,80105,4.155289251897068,37
232,Robert,Carpenter,tcarter@example.org,2016-05-22,IT,48603,3.837569842753531,28
233,Jennifer,Jensen,lcastro@example.com,2016-08-15,Finance,113071,3.5154844796499285,13
234,Danielle,Smith,michaelescobar@example.net,2018-06-23,IT,101115,3.349995772752769,10
235,Bruce,Murphy,rjackson@example.org,2018-01-09,IT,71190,4.028443008891683,38
236,April,Cook,jennafields@example.org,2022-03-20,HR,42098,2.9706313345077655,23
237,Zachary,Woods,gregory51@example.org,2014-12-09,Finance,112066,4.957709201640354,23
238,Ryan,Roman,ericawatson@example.com,2013-12-27,Finance,65270,3.8715379561347616,17
239,Cody,Horton,joneskaitlyn@example.net,2014-07-04,Marketing,77077,2.2970290367875386,32
240,Dylan,Cook,joseph15@example.com,2023-01-27,IT,54412,3.650589246729803,17
241,Debbie,Hart,robertslisa@example.com,2020-06-20,Finance,103243,4.963736509181694,18
242,Nicholas,Hutchinson,kathleen08@example.org,2016-11-03,Sales,77743,4.699586743715562,38
243,Jamie,Weiss,heathmichelle@example.org,2018-07-25,HR,119807,4.489193672931007,37
244,Patrick,Fisher,katherine79@example.org,2017-12-26,Finance,105280,2.789898224560668,13
245,Joshua,Williams,froststephanie@example.net,2017-07-16,Marketing,78393,2.1135549218971676,20
246,Mark,Cardenas,davidjones@example.org,2014-04-19,HR,59585,2.1476953237185077,21
247,Kaylee,Jordan,kimberly41@example.org,2018-06-27,Sales,62555,2.660261631002405,15
248,Jack,Serrano,fulleranthony@example.org,2019-05-30,Finance,53174,4.3557313095220875,38
249,Lisa,Clark,woodsclaudia@example.com,2016-05-25,Operations,80399,4.975629243433341,38
250,Stacy,Weeks,lisataylor@example.net,2015-05-15,Finance,75013,3.32998978241806,35
251,Jennifer,Thompson,tharrison@example.net,2018-05-20,Finance,92904,3.941109834908119,39
252,Kristine,Schmidt,nicole28@example.org,2023-01-17,Finance,44183,3.85833919869758,29
253,Samuel,Martinez,sarahmyers@example.net,2015-03-04,IT,92781,2.4033838991199636,32
254,Jim,Washington,calderontravis@example.com,2023-06-26,Marketing,73594,2.2021064034964133,31
255,Jennifer,Matthews,anthonynelson@example.net,2017-12-07,HR,87773,2.3521845377558632,36
256,Edward,Stone,taylor34@example.org,2019-02-07,HR,41587,2.2290593463026678,37
257,Jessica,Davis,ashleydavis@example.org,2023-07-05,HR,111318,4.785678035084816,33
258,Melissa,Gutierrez,hayley50@example.net,2016-07-04,Sales,98686,4.563062001997283,19
259,Rodney,Martin,teresacoleman@example.org,2016-07-07,Marketing,102365,2.8757887973015364,11
260,Michelle,Smith,slopez@example.org,2018-07-14,Operations,61690,3.9965411480573714,30
261,Amanda,Adkins,lisa61@example.net,2021-03-22,Operations,85551,4.083539130044769,13
262,Christopher,Lynch,amanda97@example.com,2015-05-26,IT,83229,3.5358093667074306,12
263,Tammy,Miller,nnash@example.com,2014-05-14,Sales,67346,2.5103857578068327,36
264,Amanda,Chang,wilkinsonlisa@example.net,2019-03-03,Marketing,58525,2.2788260125959976,16
265,Michael,Cobb,rcochran@example.org,2014-01-14,Finance,119574,4.271012411910062,16
266,Thomas,Mills,qmccarthy@example.org,2017-12-22,Marketing,78841,2.1710684301733507,27
267,Matthew,Decker,malonerobert@example.net,2019-03-08,Sales,108331,3.2974433801068312,10
268,Isabella,Hughes,vcollins@example.org,2023-02-09,Finance,92190,3.597782271336839,14
269,Timothy,Mason,amyfreeman@example.com,2016-12-21,HR,116494,4.128423655851961,34
270,Sandra,Brandt,lisamonroe@example.net,2018-04-01,Sales,58135,4.920029501117128,35
271,Matthew,Wilkerson,morganhicks@example.org,2016-07-08,Marketing,68803,2.1605202891352446,14
272,Jonathan,Martinez,mjones@example.com,2021-08-31,IT,119984,2.9189370026806736,13
273,Jason,Herring,ywoods@example.net,2022-01-05,HR,103768,4.443142593339616,24
274,William,Harrison,rfleming@example.com,2019-12-01,IT,58628,4.686242756088591,24
275,Joseph,Ingram,leslieibarra@example.org,2018-06-15,IT,60447,4.397171952202544,18
276,Michelle,Carlson,oscott@example.net,2023-01-15,Operations,53872,4.71312148475599,28
277,Erik,Dougherty,gentrysteven@example.net,2015-03-31,Sales,100386,2.338302986744537,19
278,Amanda,Franklin,mrios@example.org,2023-07-08,HR,42744,2.9317457140920573,27
279,Zachary,Oliver,thomas83@example.net,2020-11-08,HR,52992,2.51920575108647,16
280,Jeffrey,Alexander,dana14@example.org,2018-12-14,HR,86770,2.031788395474959,27
281,Brian,Williams,veronicadavis@example.org,2021-05-03,HR,88283,2.08785684992645,37
282,Christina,Williams,jacobsonbrad@example.org,2017-01-23,Operations,40642,2.6845000504775203,25
283,David,Solomon,poolestephanie@example.net,2017-06-14,Operations,118062,3.2387422163128554,14
284,Felicia,Todd,elizabethwilson@example.net,2019-12-25,IT,106975,4.3315734534515205,36
285,Natasha,Martin,uvincent@example.net,2020-08-02,HR,50848,4.414161767950036,27
286,Nathan,Mcguire,harperjoan@example.com,2017-10-12,Marketing,86263,2.8801310265743236,38
287,Angela,Ramirez,velasquezrobert@example.org,2016-09-21,Sales,89512,4.925494024260156,13
288,Ashlee,Castro,julie70@example.com,2020-03-30,Sales,57549,3.0152534794980776,11
289,April,Watson,mercedessmith@example.org,2018-02-24,Operations,48784,2.68979434459507,22
290,Jessica,Jones,melissawood@example.com,2019-02-19,IT,41291,2.7609371236861717,40
291,Tina,Gonzalez,lijustin@example.net,2022-08-11,IT,43626,3.1599166589675294,24
292,Colleen,Johnson,fordmandy@example.net,2017-04-19,Marketing,84844,2.2837490024356715,28
293,Erica,Parker,jkramer@example.org,2018-04-26,Sales,99224,2.4590899700355635,26
294,Paul,Hood,butlerryan@example.org,2022-07-27,Sales,65613,2.7098981742025314,19
295,Patty,Hinton,yuhoward@example.org,2019-11-06,Finance,97103,3.1293718041166785,13
296,Anita,Collins,boylenatasha@example.net,2015-05-10,Finance,82127,4.807540854459014,25
297,Noah,Jones,bwilkins@example.com,2018-09-08,Marketing,106937,3.145367162176773,33
298,Gina,Savage,georgesmith@example.net,2015-06-19,Marketing,99615,2.400505091598574,38
299,Frank,Espinoza,lindsaygaines@example.com,2020-10-25,Sales,65850,2.5588739384928836,26
300,Dawn,Boyle,jesse11@example.org,2019-11-26,Operations,109688,4.968650596645364,31
301,Michelle,Pearson,john98@example.net,2016-04-09,Operations,102752,2.7890693133881506,38
302,Sharon,Bell,melissaandrews@example.net,2018-02-21,Finance,93509,2.8592487598381804,20
303,Nicole,Hoffman,vsteele@example.org,2014-12-15,IT,71796,3.971578622341764,13
304,Austin,Hardy,aarongonzalez@example.net,2018-01-13,IT,56986,3.7270973945657113,25
305,Daniel,Greene,jwilliamson@example.com,2018-09-18,Marketing,101898,3.357658159049026,13
306,Richard,Strong,melissa65@example.net,2016-03-22,Marketing,61056,4.501414606414308,30
